x_east_dm,y_north_dm,height_dm,crown_radius_dm,ground_dm,species
3395.620,3292.581,45,30,4224,olive
3455.684,3301.613,45,30,4224,olive
3514.747,3310.645,45,30,4224,olive
3573.810,3319.677,45,30,4224,olive
3633.874,3328.708,45,30,4224,olive
3692.937,3337.740,45,30,4224,olive
3752.000,3346.772,45,30,4224,olive
3812.064,3354.800,45,30,4224,olive
3871.127,3363.832,45,30,4224,olive
3930.190,3372.864,45,30,4224,olive
3990.254,3381.895,45,30,4224,olive
4049.317,3390.927,45,30,4224,olive
3398.623,3232.369,45,30,4226,olive
3458.687,3241.401,45,30,4226,olive
3517.750,3250.433,45,30,4226,olive
3576.813,3259.465,45,30,4226,olive
3636.877,3268.497,45,30,4226,olive
3695.940,3277.528,45,30,4226,olive
3755.003,3286.560,45,30,4226,olive
3815.067,3295.592,45,30,4226,olive
3874.130,3303.620,45,30,4226,olive
3933.193,3312.652,45,30,4226,olive
3993.257,3321.684,45,30,4226,olive
4052.320,3330.715,45,30,4226,olive
3401.626,3172.158,45,30,4229,olive
3461.690,3181.189,45,30,4229,olive
3520.753,3190.221,45,30,4229,olive
3579.816,3199.253,45,30,4229,olive
3639.880,3208.285,45,30,4229,olive
3698.943,3217.317,45,30,4229,olive
3758.006,3226.348,45,30,4229,olive
3818.070,3235.380,45,30,4229,olive
3877.133,3244.412,45,30,4229,olive
3936.196,3252.440,45,30,4229,olive
3996.260,3261.472,45,30,4229,olive
4055.323,3270.504,45,30,4229,olive
3404.629,3111.946,45,30,4231,olive
3464.694,3120.978,45,30,4231,olive
3523.756,3130.009,45,30,4231,olive
3582.819,3139.041,45,30,4231,olive
3642.883,3148.073,45,30,4231,olive
3701.946,3157.105,45,30,4231,olive
3761.009,3166.137,45,30,4231,olive
3821.073,3175.168,45,30,4231,olive
3880.136,3184.200,45,30,4231,olive
3939.199,3193.232,45,30,4231,olive
3999.263,3201.260,45,30,4231,olive
4058.326,3210.292,45,30,4231,olive
3407.633,3051.734,45,30,4233,olive
3467.697,3060.766,45,30,4233,olive
3526.760,3069.798,45,30,4233,olive
3585.823,3078.829,45,30,4233,olive
3645.887,3087.861,45,30,4233,olive
3704.950,3096.893,45,30,4233,olive
3764.013,3105.925,45,30,4233,olive
3824.077,3114.956,45,30,4233,olive
3883.140,3123.988,45,30,4233,olive
3942.203,3133.020,45,30,4233,olive
4002.267,3141.048,45,30,4233,olive
4061.330,3150.080,45,30,4233,olive
3410.636,2992.526,45,30,4238,olive
3470.700,3000.554,45,30,4238,olive
3529.763,3009.586,45,30,4238,olive
3588.826,3018.618,45,30,4238,olive
3648.890,3027.649,45,30,4238,olive
3707.953,3036.681,45,30,4238,olive
3767.016,3045.713,45,30,4238,olive
3827.080,3054.745,45,30,4238,olive
3886.143,3063.776,45,30,4238,olive
3945.206,3072.808,45,30,4238,olive
4005.270,3081.840,45,30,4238,olive
4064.333,3089.868,45,30,4238,olive
3413.639,2932.314,45,30,4234,olive
3473.703,2941.346,45,30,4234,olive
3532.766,2949.374,45,30,4234,olive
3591.829,2958.406,45,30,4234,olive
3651.893,2967.438,45,30,4234,olive
3710.956,2976.469,45,30,4234,olive
3770.019,2985.501,45,30,4234,olive
3830.083,2994.533,45,30,4234,olive
3889.146,3003.565,45,30,4234,olive
3948.209,3012.596,45,30,4234,olive
4008.273,3021.628,45,30,4234,olive
4067.336,3030.660,45,30,4234,olive
3155.364,3091.875,32,24,4217,citrus
3205.417,3096.893,32,24,4217,citrus
3255.470,3101.911,32,24,4217,citrus
3305.524,3106.928,32,24,4217,citrus
3354.576,3111.946,32,24,4217,citrus
3404.629,3116.964,32,24,4217,citrus
3155.364,3041.699,32,24,4217,citrus
3205.417,3046.716,32,24,4217,citrus
3255.470,3051.734,32,24,4217,citrus
3305.524,3056.752,32,24,4217,citrus
3354.576,3061.769,32,24,4217,citrus
3404.629,3066.787,32,24,4217,citrus
3155.364,2991.522,32,24,4219,citrus
3205.417,2996.540,32,24,4219,citrus
3255.470,3001.558,32,24,4219,citrus
3305.524,3006.575,32,24,4219,citrus
3354.576,3011.593,32,24,4219,citrus
3404.629,3016.611,32,24,4219,citrus
3155.364,2941.346,32,24,4221,citrus
3205.417,2946.363,32,24,4221,citrus
3255.470,2951.381,32,24,4221,citrus
3305.524,2956.399,32,24,4221,citrus
3354.576,2961.416,32,24,4221,citrus
3404.629,2966.434,32,24,4221,citrus
