id,kind,lng,lat,utm11_e,utm11_n,pack_x,pack_y,elev_m,from_POB_m,bearing_from_POB_deg,footprint_m2,inside_parcel,min_boundary_m,source
oak-leaf-massing,model,-119.155333,34.433118,301958.572,3812287.769,381.222,297.371,425.625,66.157,223.276,1136.95,true,24.208,derived
retreat-village,model,-119.155628,34.432173,301929.231,3812183.532,354.107,192.542,431.625,169.289,205.345,1029.45,true,28.692,derived
glamping-creek,model,-119.15654,34.432479,301846.139,3812219.256,270.28,226.486,419.125,196.471,232.703,581.22,true,31.512,derived
the-barn,model,-119.156728,34.433082,301830.286,3812286.505,252.999,293.377,420.625,181.242,253.274,228.36,true,12.504,derived
agricultural-hub,model,-119.155982,34.433478,301899.779,3812328.967,321.569,337.305,421.5,105.327,265.518,199.91,true,0.647,derived
tropical-dome,model,-119.156763,34.432888,301826.612,3812265.056,249.782,271.857,418.375,191.531,247.376,129.97,true,9.975,derived
site-grounds,model,-119.156345,34.432675,301864.523,3812240.613,288.203,248.228,419.25,169.16,234.884,6972.82,false,-11.581,derived
creek,model,-119.156485,34.432554,301851.371,3812227.467,275.335,234.806,418.125,187.442,233.79,2241.04,false,-5.026,derived
community-hub,model,-119.155387,34.432771,301952.79,3812249.387,376.259,258.878,421.188,100.206,210.14,141.93,true,27.043,derived
events-gatherings-hub,model,-119.155065,34.433394,301983.853,3812317.857,405.856,327.987,425.25,27.152,229.734,241.45,true,5.025,derived
wellness-facilities,model,-119.155062,34.43293,301983.033,3812266.387,406.132,276.516,425.812,71.984,196.498,158.29,true,7.432,derived
livestock-dairy,model,-119.156143,34.432797,301883.375,3812253.75,306.77,261.762,419.438,146.188,235.036,227.35,true,65.331,derived
mushroom-cultivation,model,-119.156218,34.433474,301878.081,3812328.985,299.877,336.862,421.688,126.994,266.083,62.8,true,3.151,derived
beekeeping-program,model,-119.1557,34.43352,301925.794,3812333.074,347.489,341.964,422.75,79.165,267.414,20.7,true,0.355,derived
farmstead-produce-stand,model,-119.15725,34.4324,301780.703,3812211.883,205.019,217.723,417.875,255.779,240.02,32.16,true,4.488,derived
infrastructure,model,-119.155966,34.432386,301898.671,3812207.818,323.039,216.17,425.25,165.696,218.671,571.55,true,57.2,derived
ceremonial-infrastructure,model,-119.155582,34.432501,301934.232,3812219.822,358.335,228.927,422.312,135.109,210.336,168.97,true,47.5,derived
POB,survey_corner,-119.1548396,34.4335522,302004.94,3812334.963,426.574,345.536,426.938,0.0,0.0,0.0,true,0.0,survey
corner-2,survey_corner,-119.1569291,34.4335632,301812.942,3812340.27,234.515,346.757,419.375,192.063,270.364,0.0,true,0.0,survey
corner-3,survey_corner,-119.1569371,34.4325257,301809.756,3812225.212,233.78,231.667,418.562,223.911,239.433,0.0,true,0.0,survey
corner-4,survey_corner,-119.1578497,34.4323837,301725.552,3812211.249,149.897,215.915,417.812,305.536,244.897,0.0,true,0.0,survey
corner-5,survey_corner,-119.1578505,34.4322793,301725.231,3812199.671,149.823,204.333,420.438,310.691,242.969,0.0,true,0.0,survey
corner-6,survey_corner,-119.15694,34.432141,301808.581,3812182.549,233.513,188.992,429.562,248.553,230.963,0.0,true,0.0,survey
corner-7,survey_corner,-119.1569426,34.4317976,301807.531,3812144.466,233.274,150.898,451.812,274.315,224.802,0.0,true,0.0,survey
corner-8,survey_corner,-119.1549996,34.4317873,301986.071,3812139.523,411.867,149.756,450.0,196.332,184.296,0.0,true,0.0,survey
corner-9,survey_corner,-119.1549928,34.4326631,301988.763,3812236.649,412.492,246.908,421.188,99.628,188.125,0.0,true,0.0,survey
corner-10,survey_corner,-119.1549783,34.4328552,301990.549,3812257.927,413.825,268.218,423.562,78.362,189.363,0.0,true,0.0,survey
corner-11,survey_corner,-119.154845,34.4328545,302002.798,3812257.589,426.078,268.14,423.75,77.398,180.367,0.0,true,0.0,survey
ford,ford,-119.1564886,34.4325467,301851.019,3812226.668,275.0,234.0,418.125,188.189,233.652,15.0,true,38.695,derived
well,well,-119.1560258,34.4324176,301893.246,3812211.434,317.539,219.67,423.438,166.526,220.901,2.56,true,68.504,derived
road-entry,road_entry,-119.1577942,34.4324476,301730.805,3812218.225,155.0,223.0,415.938,297.939,245.715,16.0,false,-8.357,derived
gate,gate,-119.156728,34.4330009,301830.095,3812277.506,252.999,284.377,420.562,184.034,250.59,160.0,true,10.851,derived
pad-gate-parking,pad,-119.156728,34.4330009,301830.095,3812277.506,252.999,284.377,420.562,184.034,250.59,160.0,true,10.851,derived
pad-oak-court-parking,pad,-119.155425,34.432952,301949.725,3812269.537,372.766,278.956,422.188,85.605,218.944,160.0,true,31.781,derived
pad-arrival,pad,-119.156345,34.432675,301864.523,3812240.613,288.203,248.228,419.25,169.16,234.884,36.0,true,51.298,derived
pad-oak-leaf-court,pad,-119.155425,34.4329525,301949.727,3812269.592,372.766,279.012,422.188,85.562,218.967,166.71,true,31.741,owner plan
oak-lounge,feature,-119.155643,34.433109,301930.062,3812287.377,352.728,296.372,424.375,88.715,236.345,0.0,true,49.632,owner plan
