x_east_dm,y_north_dm,height_dm,crown_radius_dm,ground_dm
-1038,4695,87,10,4140
-990,4646,123,44,4120
-963,4602,102,38,4118
-950,4717,33,15,4129
-907,4625,143,59,4128
-882,4448,130,69,4118
-797,4663,26,22,4140
-792,4399,58,24,4135
-776,4194,85,47,4121
-760,4335,91,42,4131
-746,4522,114,52,4144
-737,4203,79,34,4128
-730,4134,86,35,4124
-706,4491,82,28,4145
-691,3486,92,31,4164
-669,3522,97,52,4162
-659,4019,45,16,4145
-651,4601,39,18,4145
-647,3416,50,40,4164
-617,3443,54,29,4165
-604,4638,84,47,4145
-589,3083,46,25,4172
-582,4572,66,34,4147
-570,3297,69,47,4166
-567,3180,46,28,4165
-549,3480,42,26,4164
-543,4072,109,73,4135
-538,2902,42,23,4175
-536,3264,68,15,4166
-515,3407,83,20,4165
-513,3153,42,33,4167
-512,3581,37,21,4161
-510,2609,52,21,4179
-509,3057,36,15,4167
-500,2570,87,16,4179
-499,3100,46,31,4167
-499,4572,60,33,4146
-486,2513,44,15,4179
-474,3942,148,70,4131
-468,3469,67,17,4163
-465,2986,39,21,4167
-461,3522,81,48,4162
-460,4561,53,28,4147
-458,3039,40,16,4166
-457,2708,68,46,4172
-455,3233,93,40,4165
-432,3488,65,19,4162
-431,4059,110,31,4150
-426,3999,122,39,4139
-424,3006,30,14,4167
-410,3443,78,28,4163
-400,4571,63,26,4148
-396,2631,41,25,4173
-393,3478,62,14,4161
-392,3249,107,44,4166
-389,3891,27,12,4151
-388,4034,125,20,4152
-386,2674,36,11,4172
-385,3199,119,47,4165
-377,2391,77,22,4183
-377,3293,85,31,4166
-376,2285,64,29,4186
-370,3386,68,21,4164
-369,2709,46,26,4172
-367,3438,92,38,4163
-364,2751,49,24,4174
-358,2254,75,27,4185
-358,3975,151,73,4134
-353,4592,67,18,4148
-350,4660,83,39,4151
-349,3860,32,14,4152
-348,4100,78,17,4158
-346,4706,80,37,4151
-344,2792,42,21,4172
-336,4566,67,29,4149
-335,2901,79,51,4172
-330,2861,78,21,4170
-312,3283,96,35,4165
-303,4681,78,26,4151
-300,4076,91,17,4158
-295,3542,34,18,4158
-289,1736,60,28,4190
-289,3804,56,15,4151
-288,2632,100,45,4177
-288,4007,133,39,4155
-285,4731,84,21,4148
-281,4880,39,12,4153
-280,1702,59,24,4190
-273,2860,69,24,4170
-263,1798,88,24,4187
-257,1652,67,20,4191
-250,3263,135,56,4165
-248,4812,48,11,4153
-247,4725,82,21,4151
-242,3540,36,15,4158
-241,4864,64,30,4151
-240,4656,95,44,4153
-231,4169,49,21,4160
-228,4139,58,30,4161
-227,4012,88,42,4158
-219,1829,132,59,4187
-215,3944,52,18,4153
-206,4195,54,17,4159
-203,3773,98,27,4133
-203,4716,81,33,4153
-199,2241,117,37,4180
-198,4819,58,20,4154
-198,4860,49,21,4153
-197,4651,77,24,4153
-195,3291,118,49,4163
-194,4764,52,18,4153
-189,2509,60,30,4179
-188,2835,55,20,4170
-184,3737,105,38,4146
-178,3693,71,16,4154
-172,4204,49,17,4160
-168,1261,99,26,4267
-168,4128,53,22,4161
-158,4640,47,18,4154
-156,4162,48,26,4163
-155,3974,130,41,4161
-154,2390,34,14,4179
-153,2675,143,69,4177
-153,4825,65,27,4154
-150,1209,103,25,4283
-150,2212,143,48,4179
-149,1591,144,42,4195
-149,2289,43,17,4179
-149,2804,56,14,4170
-149,4708,52,21,4153
-149,4912,45,16,4155
-145,2438,75,42,4181
-140,1415,136,57,4229
-138,1508,80,18,4203
-136,1462,109,45,4217
-134,2497,52,16,4179
-132,3699,90,22,4154
-127,1098,123,11,4315
-127,1877,100,33,4184
-125,1928,80,30,4183
-124,3604,37,18,4155
-124,3910,107,35,4161
-122,2265,38,11,4178
-122,2841,68,30,4169
-120,2750,130,48,4173
-119,2006,154,50,4180
-116,4004,137,66,4171
-109,4693,72,32,4155
-105,4923,51,14,4155
-98,2582,38,12,4178
-97,4543,28,13,4154
-95,1197,124,33,4297
-95,2343,75,27,4180
-95,2628,116,15,4178
-91,2308,68,10,4181
-89,3282,47,31,4164
-87,1367,117,30,4251
-84,2544,56,18,4179
-84,3960,110,22,4173
-82,1063,165,58,4332
-81,2433,46,22,4179
-73,4182,30,22,4163
-72,4753,75,23,4157
-71,4809,78,22,4156
-70,4662,67,36,4158
-70,4865,71,21,4157
-67,2375,90,33,4179
-63,843,148,22,4395
-59,4720,77,29,4158
-59,4904,64,27,4157
